Source,Target
GMT,ADAMTSL2
GMT,ADAMTS5
GMT,ADAMTSL1
GMT,ADAMTS6
GMT,ADAMTS3
GMT,ADAMTS4
GMT,ADAMTS1
GMT,ADAMTSL5
GMT,ADAMTS2
GMT,ADAMTSL4
GMT,ADAMTSL3
GMT,MUC13
GMT,MUC15
GMT,THSD7A
GMT,THSD7B
GMT,MUC16
GMT,ADAMTS9
GMT,ADAMTS7
GMT,ADAMTS8
GMT,MUC12
GMT,GALNT8
GMT,GALNT7
GMT,GALNT6
GMT,GALNT5
GMT,GALNT4
GMT,GALNT3
GMT,GALNT2
GMT,GALNT1
GMT,GALNTL6
GMT,GALNTL5
GMT,GALNT13
GMT,GALNT12
GMT,ST6GALNAC2
GMT,GALNT15
GMT,ST6GALNAC3
GMT,GALNT14
GMT,GALNT16
GMT,GALNT18
GMT,GALNT11
GMT,GALNT10
GMT,GALNT9
GMT,ST6GAL1
GMT,WBSCR17
GMT,B3GNT9
GMT,B3GNT8
GMT,A4GNT
GMT,B3GNT6
GMT,B3GNT5
GMT,ST6GALNAC4
GMT,CHST4
GMT,GCNT1
GMT,B3GNTL1
GMT,GCNT3
GMT,GCNT4
GMT,GCNT6
GMT,GCNT7
GMT,TGFB1
GMT,TGFB3
GMT,TGFB2
GMT,ITGA5
GMT,GDF5
GMT,BMP7
GMT,MFAP5
GMT,BMP4
GMT,BMP2
GMT,MFAP2
GMT,LOX
GMT,MFAP1
GMT,MFAP4
GMT,MFAP3
GMT,ITGA8
GMT,FBN1
GMT,FBN2
GMT,FBN3
GMT,ITGB1
GMT,ITGB6
GMT,BMP10
GMT,ITGB5
GMT,ELN
GMT,ITGB3
GMT,LOXL4
GMT,LTBP3
GMT,FBLN2
GMT,LTBP4
GMT,FBLN1
GMT,LTBP1
GMT,LOXL1
GMT,LTBP2
GMT,VTN
GMT,LOXL2
GMT,LOXL3
GMT,FBLN5
GMT,EFEMP1
GMT,EFEMP2
GMT,ITGB8
GMT,ITGAV
GMT,ITGA2
GMT,LAMB2
GMT,LAMB1
GMT,COL9A2
GMT,ITGA9
GMT,COL9A1
GMT,ITGA7
GMT,COL9A3
GMT,HAPLN1
GMT,PTPRS
GMT,TNXB
GMT,NCAM1
GMT,SERPINE1
GMT,ITGA2B
GMT,LAMC1
GMT,TNC
GMT,LRP4
GMT,COMP
GMT,TNN
GMT,TNR
GMT,MUSK
GMT,DSPP
GMT,ASPN
GMT,MATN1
GMT,MATN4
GMT,MATN3
GMT,SPARC
GMT,LAMA3
GMT,LAMA2
GMT,LAMA5
GMT,LAMA4
GMT,DMP1
GMT,LAMA1
GMT,IBSP
GMT,ITGAX
GMT,ITGA1
GMT,ITGA4
GMT,ITGA3
GMT,FN1
GMT,VCAM1
GMT,ITGA10
GMT,ITGAE
GMT,ITGAD
GMT,ITGA11
GMT,PECAM1
GMT,ITGA6
GMT,COL18A1
GMT,COL16A1
GMT,BSG
GMT,CDH1
GMT,KDR
GMT,MADCAM1
GMT,JAM2
GMT,SPP1
GMT,FGA
GMT,JAM3
GMT,FGB
GMT,FGG
GMT,COL23A1
GMT,COL4A1
GMT,COL4A3
GMT,COL4A2
GMT,COL4A4
GMT,CD47
GMT,CD44
GMT,ITGB2
GMT,COL13A1
GMT,ICAM3
GMT,ICAM4
GMT,ICAM5
GMT,F11R
GMT,ITGAM
GMT,ITGAL
GMT,ICAM1
GMT,ICAM2
GMT,ITGB7
GMT,TRAPPC4
GMT,LAMB3
GMT,ACTN1
GMT,DDR2
GMT,DDR1
GMT,ITGB4
GMT,NRXN1
GMT,PDGFB
GMT,LAMC3
GMT,PDGFA
GMT,LAMC2
GMT,FGF2
GMT,NTN4
GMT,DMD
GMT,CTSB
GMT,MMP7
GMT,COL28A1
GMT,CRTAP
GMT,COL26A1
GMT,MMP3
GMT,COL24A1
GMT,MMP9
GMT,COL1A2
GMT,MMP13
GMT,COL1A1
GMT,COL3A1
GMT,P4HA1
GMT,COL5A2
GMT,PLOD1
GMT,P4HA2
GMT,BMP1
GMT,COL5A1
GMT,COL5A3
GMT,COL7A1
GMT,COL22A1
GMT,COL20A1
GMT,PLEC
GMT,PPIB
GMT,COL14A1
GMT,COL12A1
GMT,PLOD3
GMT,PLOD2
GMT,CTSV
GMT,CTSS
GMT,CTSL
GMT,COL10A1
GMT,COL27A1
GMT,COL25A1
GMT,DST
GMT,PCOLCE
GMT,COL2A1
GMT,COL6A1
GMT,COL4A5
GMT,COL8A1
GMT,COL6A3
GMT,COL6A2
GMT,P4HB
GMT,COL21A1
GMT,COL6A5
GMT,COL8A2
GMT,COL4A6
GMT,TLL2
GMT,TLL1
GMT,PCOLCE2
GMT,COL6A6
GMT,COL19A1
GMT,COL17A1
GMT,CD151
GMT,COL15A1
GMT,COL11A2
GMT,MMP20
GMT,COL11A1
GMT,SERPINH1
GMT,COLGALT1
GMT,COLGALT2
GMT,MMP8
GMT,MMP1
GMT,MMP2
GMT,CMA1
GMT,CTRB2
GMT,MMP11
GMT,MMP10
GMT,MMP15
GMT,MMP14
GMT,MMP17
GMT,MMP16
GMT,CTRB1
GMT,KLKB1
GMT,PRSS2
GMT,PRSS1
GMT,KLK2
GMT,PLG
GMT,MMP24
GMT,MMP25
GMT,CTSK
GMT,TIMP1
GMT,TIMP2
GMT,CTSG
GMT,TPSAB1
GMT,ELANE
GMT,CEMIP
GMT,HMMR
GMT,LYVE1
GMT,HYAL1
GMT,HYAL2
GMT,HYAL3
GMT,HAS2
GMT,STAB2
GMT,HAS1
GMT,HAS3
GMT,CHP1
GMT,PLAUR
GMT,DPM1
GMT,DPM2
GMT,PIGC
GMT,DPM3
GMT,PIGF
GMT,PIGB
GMT,PIGA
GMT,PIGL
GMT,PIGK
GMT,PIGN
GMT,PIGM
GMT,PIGH
GMT,PIGG
GMT,PIGT
GMT,PIGS
GMT,PGAP1
GMT,PIGV
GMT,PIGU
GMT,PIGP
GMT,PIGO
GMT,PIGQ
GMT,GPAA1
GMT,PIGX
GMT,PIGW
GMT,F11
GMT,F2R
GMT,VWF
GMT,F10
GMT,F12
GMT,SERPIND1
GMT,GP5
GMT,GP1BB
GMT,F2
GMT,GP1BA
GMT,F3
GMT,F5
GMT,GP9
GMT,F7
GMT,PROC
GMT,F8
GMT,F9
GMT,PROCR
GMT,SERPING1
GMT,F13B
GMT,PRTN3
GMT,PF4
GMT,CD177
GMT,SERPINC1
GMT,F13A1
GMT,SERPINE2
GMT,PROS1
GMT,PRCP
GMT,TFPI
GMT,SERPINA5
GMT,KNG1
GMT,THBD
GMT,C1QBP
GMT,A2M
GMT,PF4V1
GMT,ARSA
GMT,ARSB
GMT,ICMT
GMT,EIF5A
GMT,DHPS
GMT,DOHH
GMT,FN3KRP
GMT,SUMF1
GMT,SUMF2
GMT,GGCX
GMT,GAS6
GMT,EIF5A2
GMT,PROZ
GMT,DNAJC24
GMT,STS
GMT,DPH1
GMT,DPH2
GMT,ARSK
GMT,BGLAP
GMT,DPH3
GMT,DPH5
GMT,ARSI
GMT,ARSJ
GMT,DPH6
GMT,ARSG
GMT,DPH7
GMT,ARSH
GMT,ARSE
GMT,ARSF
GMT,FN3K
GMT,ARSD
GMT,CTSA
GMT,SPHK2
GMT,SPHK1
GMT,GLA
GMT,DEGS2
GMT,DEGS1
GMT,ASAH2
GMT,SGMS2
GMT,CERK
GMT,SGMS1
GMT,ASAH1
GMT,NEU3
GMT,NEU4
GMT,UGCG
GMT,UGT8
GMT,SGPL1
GMT,PSAP
GMT,KDSR
GMT,NEU1
GMT,NEU2
GMT,CERS4
GMT,CERS5
GMT,CERS6
GMT,SGPP2
GMT,SGPP1
GMT,FA2H
GMT,ACER3
GMT,ACER2
GMT,ALDH3A2
GMT,GALC
GMT,ACER1
GMT,VAPA
GMT,VAPB
GMT,CPTP
GMT,PRKD1
GMT,CERS1
GMT,CERS2
GMT,CSNK1G2
GMT,CERS3
GMT,GLTP
GMT,GBA
GMT,GBA2
GMT,PPM1L
GMT,GBA3
GMT,SMPD4
GMT,SMPD3
GMT,SPTLC1
GMT,SPTLC2
GMT,SPTLC3
GMT,OSBP
GMT,GM2A
GMT,COL4A3BP
GMT,SMPD2
GMT,ALDH3B2
GMT,ALDH3B1
GMT,SMPD1
GMT,ENPP7
GMT,CCR2
GMT,DEFB104A
GMT,DEFB119
GMT,DEFB118
GMT,DEFA5
GMT,DEFB117
GMT,DEFA6
GMT,DEFB116
GMT,DEFA3
GMT,DEFB115
GMT,DEFA4
GMT,DEFB114
GMT,DEFB136
GMT,DEFB113
GMT,DEFA1
GMT,DEFB135
GMT,DEFB134
GMT,DEFB112
GMT,DEFB133
GMT,DEFB106A
GMT,DEFB132
GMT,DEFB110
GMT,DEFB131
GMT,DEFB108B
GMT,DEFB130
GMT,TLR2
GMT,TLR1
GMT,CD4
GMT,DEFB4A
GMT,DEFB103A
GMT,DEFB129
GMT,DEFB128
GMT,DEFB109P1
GMT,DEFB127
GMT,DEFB108P1
GMT,DEFB126
GMT,DEFB125
GMT,DEFB124
GMT,DEFB123
GMT,DEFB1
GMT,DEFB121
GMT,DEFB105A
GMT,DEFB107A
GMT,ART1
GMT,CCR6
GMT,PRSS3
GMT,DNM1
GMT,DNM2
