Year,alzheimer,dementia,parkinson's disease,huntington disease,depression,anxiety,bipolar disorder,schizophrenia,autism
1971,9.39139301190918,129.24345621151207,256.2508664678076,26.385342271554364,1406.0256966401173,382.81106753305994,124.32415511003582,419.9294303896534,49.19301101476238
1972,5.706509810807252,125.98217813089856,222.99284491462186,32.92217198542645,1294.060840173829,404.2842719810368,140.4679338044862,431.499934155656,40.8234932619288
1973,7.355263556399728,131.09675632877162,187.77555196926363,28.123066539175433,1205.3978981252733,410.16410890982013,126.77013070736002,436.5565252004309,40.67028084126908
1974,7.655990812811025,142.9118285058058,159.92514142316364,37.85462124112118,1575.0074433244013,459.3594487686614,145.03849262047552,479.3500914465569,42.958615116328524
1975,18.459661626376448,144.86821406786734,146.8746990272561,28.49208642332017,2010.4979293075219,441.4266910655238,135.23708626280137,455.8733827731227,55.78028187100709
1976,20.787737588151774,154.53525678739243,144.33749872528023,42.35991810415833,1642.6234909279174,457.7224484032664,121.9808752814189,426.34473128907507,41.57547517630355
1977,21.741452176433793,168.59161161374976,123.58299131867629,42.72004638176464,1479.5630349541523,408.12901454007294,116.71726957874984,410.7990174389333,49.967197107242576
1978,24.584539626975477,176.49497851604784,111.91469531682866,45.866678408536345,1438.745968318968,424.5419753494123,118.15256358038963,412.43317224955877,51.370679817560706
1979,36.8693654569497,184.34682728474849,99.61818935964294,39.70547049209968,1425.8518064216507,446.68654303612135,162.72152639172992,402.0178887325092,50.695377503305835
1980,40.97951736818849,194.5636215915732,102.27062160582693,44.54295366107444,1465.6413472639936,439.0153512835497,146.45723163761278,406.23173738899897,43.11757914392006
1981,58.18258753834761,229.90937621213723,115.30730984872528,47.60393525864805,1522.6206847914243,460.1713741669311,145.2801579745407,397.05208223139033,39.8462569202017
1982,91.98325363705844,257.68837967440635,107.20107133436589,42.60988955246089,1594.1509472246082,493.73364084597546,178.89390137501437,385.8562220583959,47.682495451563376
1983,105.98902625813498,277.25178210207264,129.2549100708963,46.854904900699914,1713.9201075400852,524.4517976126618,159.62981393755695,371.93100372900415,47.824316726231636
1984,135.4523826734089,301.7036829848551,165.30847630211852,48.71257381526306,1730.0820571162785,505.3536689996323,163.42282828346316,380.9008997683796,55.94089122010855
1985,187.03241895261846,377.942703050985,157.50098438115236,48.324165662399025,1705.6640694913433,499.34971184478997,159.58906561347825,375.8546218186591,53.395220083761885
1986,237.9889930090733,433.92944999370707,185.07076740008466,48.627558667719306,1695.6715751896477,506.29869906978337,155.03609881119922,360.1299786038742,52.918225608988664
1987,239.19153261974523,418.3133735247591,216.35961359695142,43.48936956722641,1638.461998445255,462.8899773311661,123.94470326659527,346.8277222986306,57.895223236370164
1988,259.18518173971916,455.57674517161007,197.16679328754307,43.67128186840732,1556.4031401977354,493.5630080985679,135.40681478725108,331.28155831537384,62.27679840406014
1989,343.95923151808955,556.7917668328929,220.53126179643573,45.944012874257446,1651.0043112868298,514.5729441916834,119.20608745753285,357.369916357062,59.85138974430295
1990,344.66727194393803,558.8672714571198,244.1393176269561,51.35931806509246,1677.5754507327829,599.5165895465532,137.03931787036518,376.31045369020353,50.14227261331301
1991,367.17810195303895,607.0419773884125,240.83204445832155,48.166408891664304,1649.0338883362258,550.1620472902159,113.03373342918206,367.662186464513,56.39584558672253
1992,389.1153011336034,607.603782028425,255.10265129669204,55.75883466428634,1683.7732218794795,550.4090975444575,115.58591048433607,415.9178311009857,63.89531697581311
1993,402.6691748674538,629.6239102663092,277.4931094670541,72.29795179200651,1611.8465692399122,573.2361873476244,117.22095096373872,390.50252925844296,71.12808202190932
1994,486.3786586813227,695.6744024686399,271.14868442675333,60.25526320594519,1613.6542078258806,574.9356364233936,120.51052641189038,427.4928332755126,62.08118027279201
