Id,Label,Class,Size,dis_class
CEACAM5,CEACAM5,GENE,1,INFLAMMATORY
CEACAM6,CEACAM6,GENE,1,INFLAMMATORY
CEBPZ,CEBPZ,GENE,1,INFLAMMATORY
CEL,CEL,GENE,1,INFLAMMATORY
CENPA,CENPA,GENE,1,INFLAMMATORY
CFH,CFH,GENE,1,INFLAMMATORY
CFI,CFI,GENE,1,INFLAMMATORY
CFP,CFP,GENE,1,INFLAMMATORY
CHGA,CHGA,GENE,1,INFLAMMATORY
CHI3L1,CHI3L1,GENE,1,INFLAMMATORY
CHI3L2,CHI3L2,GENE,1,INFLAMMATORY
CHUK,CHUK,GENE,1,INFLAMMATORY
CIC,CIC,GENE,1,INFLAMMATORY
CIMT,CIMT,GENE,1,INFLAMMATORY
CISH,CISH,GENE,1,INFLAMMATORY
CIT,CIT,GENE,1,INFLAMMATORY
CKAP4,CKAP4,GENE,1,INFLAMMATORY
CKLF,CKLF,GENE,1,INFLAMMATORY
CLCN7,CLCN7,GENE,1,INFLAMMATORY
CLDN1,CLDN1,GENE,1,INFLAMMATORY
CLDN11,CLDN11,GENE,1,INFLAMMATORY
CLDN2,CLDN2,GENE,1,INFLAMMATORY
CLEC12A,CLEC12A,GENE,1,INFLAMMATORY
CLEC16A,CLEC16A,GENE,1,INFLAMMATORY
CLEC4C,CLEC4C,GENE,1,INFLAMMATORY
CLEC5A,CLEC5A,GENE,1,INFLAMMATORY
CLEC7A,CLEC7A,GENE,1,INFLAMMATORY
CLU,CLU,GENE,1,INFLAMMATORY
CNOT3,CNOT3,GENE,1,INFLAMMATORY
CNR1,CNR1,GENE,1,INFLAMMATORY
CNR2,CNR2,GENE,1,INFLAMMATORY
CNTNAP3,CNTNAP3,GENE,1,INFLAMMATORY
COL1A1,COL1A1,GENE,1,INFLAMMATORY
COL1A2,COL1A2,GENE,1,INFLAMMATORY
COL2A1,COL2A1,GENE,1,INFLAMMATORY
COMP,COMP,GENE,1,INFLAMMATORY
COMT,COMT,GENE,1,INFLAMMATORY
CORT,CORT,GENE,1,INFLAMMATORY
CP,CP,GENE,1,INFLAMMATORY
CPB2,CPB2,GENE,1,INFLAMMATORY
CR1,CR1,GENE,1,INFLAMMATORY
CR2,CR2,GENE,1,INFLAMMATORY
CREG1,CREG1,GENE,1,INFLAMMATORY
CREM,CREM,GENE,1,INFLAMMATORY
CRH,CRH,GENE,1,INFLAMMATORY
CRHR1,CRHR1,GENE,1,INFLAMMATORY
CRISP3,CRISP3,GENE,1,INFLAMMATORY
CRP,CRP,GENE,1,INFLAMMATORY
CSDA,CSDA,GENE,1,INFLAMMATORY
CSE,CSE,GENE,1,INFLAMMATORY
CSF1,CSF1,GENE,1,INFLAMMATORY
CSF1R,CSF1R,GENE,1,INFLAMMATORY
CSF2,CSF2,GENE,1,INFLAMMATORY
CSF3,CSF3,GENE,1,INFLAMMATORY
CSK,CSK,GENE,1,INFLAMMATORY
CST3,CST3,GENE,1,INFLAMMATORY
CST4,CST4,GENE,1,INFLAMMATORY
CTGF,CTGF,GENE,1,INFLAMMATORY
CTHRC1,CTHRC1,GENE,1,INFLAMMATORY
CTLA4,CTLA4,GENE,1,INFLAMMATORY
CTNNB1,CTNNB1,GENE,1,INFLAMMATORY
CTSB,CTSB,GENE,1,INFLAMMATORY
CTSC,CTSC,GENE,1,INFLAMMATORY
CTSG,CTSG,GENE,1,INFLAMMATORY
CTSH,CTSH,GENE,1,INFLAMMATORY
CTSK,CTSK,GENE,1,INFLAMMATORY
CTSL,CTSL,GENE,1,INFLAMMATORY
CTSS,CTSS,GENE,1,INFLAMMATORY
