Year,lupus,arthritis,ulcerative colitis,crohn's disease,osteoporosis,psoriasis,sarcoidosis,scleroderma,rheumatic fever
1987,311.4926095252592,1031.5134844226516,145.96119661000364,147.8638565285698,153.02821916467795,151.12555924611178,123.12927758720978,89.69682473240448,61.972351633297635
1988,323.7876697107359,1042.942565804094,146.51844271826596,148.84413228522257,147.0352626220341,139.54137401739615,120.67744752985926,93.54440258203223,62.27679840406014
1989,347.932767766674,1039.0797290048279,133.8585023741879,147.5175332286969,183.77605149702978,161.6732561142789,113.74247511572923,102.31855840104902,63.82492599288737
1990,336.3913628718378,1034.2452249221699,133.87499969573864,135.335454237874,199.59545409182854,156.02522691812447,120.24409063580887,109.53409066014979,61.33909076968388
1991,318.5276085499006,1019.7240234200086,125.1358462160324,144.74126893072994,204.04162158629651,124.65176170455838,103.11000094396479,100.20549387512072,57.84809912114457
1992,353.9369805514142,1021.6071467031692,139.27743250907577,150.04630615668472,203.1727494848889,138.32019929595498,99.07363755800236,100.98810398424395,59.10915091020913
1993,326.86161376515565,1052.180871225415,126.11196121647737,135.47091937725492,256.43545360530464,123.30427376824412,98.50303464218364,89.14407648140609,64.81078526338447
1994,353.0867128015046,1028.4477879014735,136.03082148008838,146.52984461445763,256.3131082586229,140.82385378056128,106.35966914382749,102.47959537677798,50.44095897164351
1995,318.44935207804906,1012.134479157156,159.8927516028246,161.6742864396249,262.3310047188404,132.94703719622046,98.20710787861512,90.63558482221396,50.10566728500771
1996,323.8116005233319,994.9847361535107,149.36764064544266,155.47317924116876,276.4936764064544,142.60793720017446,103.13999127780201,92.67335368512865,44.70126471870911
1997,346.866377611352,1012.1315639644374,152.19200280296064,163.57903035080804,332.63259317654274,134.23553628520125,99.85547234266194,85.4027066088556,36.78885823150703
1998,340.0937681083074,1013.9598588210504,163.51472370015279,182.0576305115103,344.30806511088866,132.32892588105148,96.29668650898172,89.13238160459359,38.98224727387663
1999,333.8215067746725,1058.384328214602,158.40316644283612,171.974793235253,355.0904741359229,132.070159233669,95.60907232866835,88.3168549476682,34.030347778000596
2000,298.0869467218888,974.0887874604382,137.49189981123038,172.80402708515294,376.7879112313226,128.10037660008078,89.97079236281331,85.83852214990749,34.372974952807596
2001,311.27324274015444,1024.4250852621983,152.71386791711802,191.98836744125722,397.85981378407064,115.99677766431812,91.51871749578484,78.54899904827842,36.89976234360986
2002,311.2128632291121,1098.1797851410454,145.4331856590848,190.54931989639212,432.76103664491654,127.03287993092809,94.12464084018626,85.27834000934169,31.846682991040467
2003,312.4668729587433,1094.7277735431253,149.58699518595733,205.9555479275723,439.6747113845968,149.4187308494152,88.0022480115362,83.6273752614407,31.970223943005504
2004,319.6277056547833,1116.8204861968993,153.7152811441546,201.72198644553347,460.9894697995603,146.99121492930348,79.5941791478888,78.34319008466069,34.71494650458018
2005,321.20128423385853,1167.835883139289,143.53369971321823,205.66022645476045,457.0227254550232,152.53133462061402,87.4055962432732,86.97713743815912,31.134673171623458
2006,298.270935658317,1107.5776291462462,147.26793960947316,200.7592836161749,428.86451616345676,154.6046576153799,82.17124166615532,92.44264687442472,34.28248231850961
2007,308.1426994470473,1149.2718014457143,160.62081279472582,218.61217513391423,405.6851882938839,159.22189835233314,88.0044358305228,94.36313784139871,29.631551370681805
2008,292.81561938272074,1145.5664129728077,149.99330707155696,208.55643094810114,401.81473974069684,166.725628179141,77.80529315026581,95.97181320992848,27.847362986193442
2009,305.61518021720224,1192.822545987618,150.47073401219953,225.36412207736248,398.51945917170417,180.90685975557625,84.5827913917061,95.41212452137196,31.23407660556263
2010,301.0826230190675,1186.4885588603254,157.81614737436837,231.0955159398557,391.35430893307364,177.6759182754497,80.9259113723208,94.73216921799232,27.50631370791481
2011,300.6349134730542,1190.3769363487718,163.90242754110068,223.93132380390952,396.26918447998,182.7350224470799,78.56723187338218,90.82803584862909,26.581423018335297
2012,305.4144917522467,1203.5572886470156,155.00428627738876,216.4730874152507,377.72532358408137,192.49198562604,77.27243909856784,86.27683747152818,29.953406832500733
2013,274.8991325617935,1166.101576883403,175.66385354961983,231.7230813424618,370.1301810173357,191.6807757761461,81.30328999769321,84.52408414107079,30.466971626544563
2014,280.1385896310483,1195.5350730189132,181.1341207139627,229.5141382704227,365.84271007900406,199.50522703694836,76.72638523129307,77.3082754768175,28.013858963104834
2015,278.8007025426911,1189.7463208591878,178.8246999723352,217.6511060742198,369.2893492072477,204.3369175341485,84.58894635338727,80.6823880392346,28.382342037517308
2016,277.7812505860364,1200.6713632925557,184.5623949041401,222.22500046882914,361.70166215548875,212.14517449819658,79.38839679195864,84.77993161345978,28.207885080607355
2017,279.0539023172432,1215.0729236684167,184.20953120333508,220.63470871819646,362.70833542340796,229.7410030969118,75.86006249387448,81.33927351835574,23.305939850610468
2018,288.06134117883335,1212.0458200380986,180.1507451076783,214.54724760535896,363.97344799833337,236.05442890565166,77.48580301220439,84.45502900846648,25.853580308714232
2019,280.48345147636286,1148.0069154793107,197.37990388144564,224.530414677365,347.4978074885131,236.0226943793415,70.31838642646845,76.71096701069284,22.194465174442033
2020,277.15221161818306,870.7002587067673,208.54645193408953,229.53285030110305,333.8060762681478,232.8266796412173,68.1352126355058,52.32483180295748,17.03380315887645
